Feature ID	Taxon
seq1	k__Fungi; p__Ascomycota; none; none; none; none; none
seq2	k__Fungi; p__Ascomycota; none; none; none; none; none
seq3	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Physalacriaceae; g__Armillaria; s__borealis
seq4	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; none; none; none
seq5	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; none
seq6	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Botryosphaeriales; f__Botryosphaeriaceae; g__Botryosphaeria; s__fabicerciana
seq7	k__Fungi; p__Ascomycota; none; none; none; none; none
seq8	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Sebacinales; f__Sebacinaceae; g__Sebacina; none
seq9	k__Fungi; p__Ascomycota; none; none; none; none; none
seq10	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; f__Venturiaceae; g__Cylindrosympodium; s__variabile
seq11	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Mycena; s__meliigena
seq12	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariales_fam_Incertae_sedis; none; none
seq13	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Venturiales; none; none; none
seq14	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Paecilomyces; s__saturatus
seq15	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Chaetosphaeriales; f__Chaetosphaeriaceae; g__Menispora; s__tortuosa
seq16	k__Fungi; p__Ascomycota; none; none; none; none; none
seq17	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Physalacriaceae; g__Armillaria; s__borealis
seq18	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__Exidiaceae; g__Basidiodendron; none
seq19	k__Fungi; p__Ascomycota; c__Lecanoromycetes; none; none; none; none
seq20	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactifluus; none
seq21	k__Fungi; p__Ascomycota; none; none; none; none; none
seq22	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Hyaloscyphaceae; none; none
seq23	k__Fungi; none; none; none; none; none; none
seq24	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; s__amarissima
seq25	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales; f__Exidiaceae; g__Basidiodendron; none
seq26	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Russula; none
seq27	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; none; none; none
seq28	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Russulaceae; g__Lactifluus; none
seq29	k__Fungi; p__Basidiomycota; c__Tremellomycetes; none; none; none; none
seq30	k__Fungi; p__Ascomycota; none; none; none; none; none
seq31	k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Helotiales_fam_Incertae_sedis; g__Cryptocline; none
seq32	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Mytilinidales; f__Gloniaceae; g__Cenococcum; s__geophilum
seq33	k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella; none
seq34	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholoma; none
seq35	k__Fungi; p__Ascomycota; none; none; none; none; none
seq36	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Tricholomataceae; g__Tricholoma; none
seq37	k__Fungi; p__Ascomycota; none; none; none; none; none
seq38	k__Fungi; p__Ascomycota; none; none; none; none; none
