Sample ID,Well,ITS_per_ul,core_type,seq_id_raw,seq_id,Material
RM1Mineral,A01,1269,Mineral,RM1,RM1,Soil
RM303Mineral,A02,1841,Mineral,RM303,RM303,Soil
SM1Mineral,A03,668,Mineral,SM1,SM1,Soil
SM3Mineral,A04,494,Mineral,SM3,SM3,Soil
YB10Mineral,A05,261,Mineral,YB10,YB10,Soil
YB3Mineral,A06,763,Mineral,YB3,YB3,Soil
BB10primeMineral,A07,242,Mineral,BB10prime,BB10',Soil
BB5Mineral,A08,114,Mineral,BB5,BB5,Soil
BBX7Mineral,A09,201,Mineral,BBX7,BBX7,Soil
AB1Mineral,A10,290,Mineral,AB1,AB1,Soil
AB5Mineral,A11,640,Mineral,AB5,AB5,Soil
WA101Mineral,A12,595,Mineral,WA101,WA101,Soil
WMAVan,B01,891995,,WMAVan,WMAVan,Soil
RM304Mineral,B02,3343,Mineral,RM304,RM304,Soil
SM10Mineral,B03,648,Mineral,SM10,SM10,Soil
SM5Mineral,B04,955,Mineral,SM5,SM5,Soil
YB11Mineral,B05,0,Mineral,YB11,YB11,Soil
YB4Mineral,B06,1288,Mineral,YB4,YB4,Soil
BB11Mineral,B07,1280,Mineral,BB11,BB11,Soil
BB6Mineral,B08,354,Mineral,BB6,BB6,Soil
PB1Mineral,B09,599,Mineral,PB1,PB1,Soil
AB10Mineral,B10,1067,Mineral,AB10,AB10,Soil
AB501Mineral,B11,521,Mineral,AB501,AB501,Soil
None,B12,,,None,None,Soil
RM14Mineral,C01,2293,Mineral,RM14,RM14,Soil
RM4Mineral,C02,70,Mineral,RM4,RM4,Soil
SM11Mineral,C03,541,Mineral,SM11,SM11,Soil
SM6Mineral,C04,1442,Mineral,SM6,SM6,Soil
None,C05,,,None,None,Soil
YB5Mineral,C06,832,Mineral,YB5,YB5,Soil
BB12Mineral,C07,1681,Mineral,BB12,BB12,Soil
BB7Mineral,C08,536,Mineral,BB7,BB7,Soil
PB2Mineral,C09,2316,Mineral,PB2,PB2,Soil
AB11Mineral,C10,698,Mineral,AB11,AB11,Soil
AB6Mineral,C11,540,Mineral,AB6,AB6,Soil
None,C12,,,None,None,Soil
RM2Mineral,D01,5281,Mineral,RM2,RM2,Soil
RM5Mineral,D02,649,Mineral,RM5,RM5,Soil
SM12Mineral,D03,602,Mineral,SM12,SM12,Soil
SM7Mineral,D04,1588,Mineral,SM7,SM7,Soil
YB12Mineral,D05,2203479,Mineral,YB12,YB12,Soil
None,D06,,,None,None,Soil
BB13Mineral,D07,1051,Mineral,BB13,BB13,Soil
BB8Mineral,D08,2895,Mineral,BB8,BB8,Soil
PB3Mineral,D09,1340,Mineral,PB3,PB3,Soil
AB2Mineral,D10,879,Mineral,AB2,AB2,Soil
AB6primeMineral,D11,392,Mineral,AB6prime,AB6',Soil
None,D12,,,None,None,Soil
None,E01,,,None,None,Soil
RM501Mineral,E02,856,Mineral,RM501,RM501,Soil
SM13Mineral,E03,367,Mineral,SM13,SM13,Soil
SM8Mineral,E04,409,Mineral,SM8,SM8,Soil
None,E05,,,None,None,Soil
None,E06,,,None,None,Soil
BB14Mineral,E07,566,Mineral,BB14,BB14,Soil
BB9Mineral,E08,965,Mineral,BB9,BB9,Soil
PB4Mineral,E09,1424,Mineral,PB4,PB4,Soil
None,E10,,,None,None,Soil
AB9Mineral,E11,1969,Mineral,AB9,AB9,Soil
None,E12,,,None,None,Soil
None,F01,,,None,None,Soil
RM502Mineral,F02,537,Mineral,RM502,RM502,Soil
SM14Mineral,F03,520,Mineral,SM14,SM14,Soil
SM9Mineral,F04,626,Mineral,SM9,SM9,Soil
YB14Mineral,F05,1263,Mineral,YB14,YB14,Soil
YBYBMineral,F06,617,Mineral,YBYB,YBYB,Soil
BB16Mineral,F07,854,Mineral,BB16,BB16,Soil
BBGT1Mineral,F08,987,Mineral,BBGT1,BBGT1,Soil
PB5Mineral,F09,1137,Mineral,PB5,PB5,Soil
AB3slash5Mineral,F10,646,Mineral,AB3slash5,AB3/5,Soil
ABT14PMineral,F11,1184,Mineral,ABT14P,ABT14P,Soil
WA104Mineral,F12,363,Mineral,WA104,WA104,Soil
None,G01,,,None,None,Soil
