Date,Name,core_type,Tree Core Species Code,seq_id,Pith Visible,Sapwood Depth (cm),Heartwood Depth (cm),Tree Core Notes,Length (cm),Mass Empty Tube (g),Mass Tube + Core Segment (g),FRESH MASS (g),Date Placed in Freeze Dryer,Date Removed from Freeze Dryer,Post-Freeze Dry Sample Mass (g),Ground Sample ID,Percent_Change
6/7/2022,Jon,Inner,FRAM,WA102,Yes,,,,5,5.315,6.107,0.792,6/10/2022,6/13/2022,0.539,WA102 Outer,0.319444444
6/8/2022,Jon,Inner,TSCA,H301,Yes,,,,5,5.317,6.157,0.84,6/10/2022,6/13/2022,0.388,H301 Outer,0.538095238
6/8/2022,Jon,Inner,TSCA,HX4,Yes,,,,5,5.376,6.119,0.743,6/10/2022,6/13/2022,0.39,HX4 Outer,0.475100942
6/8/2022,Jon,Inner,TSCA,H2,Yes,,,Uncertain pith location,5,5.345,6.239,0.894,6/10/2022,6/13/2022,0.523,H2 Outer,0.414988814
6/8/2022,Jon,Inner,TSCA,HX3,Yes,,,,5,5.338,6.111,0.773,6/10/2022,6/13/2022,0.356,HX3 Outer,0.539456662
6/8/2022,Jon,Inner,TSCA,H103,No,,,,5,5.34,6.105,0.765,6/10/2022,6/13/2022,0.368,H103 Outer,0.518954248
6/8/2022,Jon,Inner,TSCA,H9,Yes,,,,5,5.359,6.211,0.852,6/10/2022,6/13/2022,0.395,H9 Outer,0.536384977
6/9/2022,Cade,Inner,TSCA, H102,Yes,,,middle piece accidentally combined with another piece. 2 possible pieces that may have been the actual core: middle?x1 and middle?x2. middle?x1: length-35.35mm/empty weight-5.3943g/filled weight-6.0878g. middle?x2:length-41.02mm/empty weight-5.3707/filled weight-6.0782,5,5.3611,6.1904,0.8293,6/10/2022,6/13/2022,0.363, H102 Outer,0.562281442
6/9/2022,Cade,Inner,TSCA,H104,Yes ,,,Inner Section 12.54+3.23+4.08,5,5.3384,6.2791,0.9407,6/10/2022,6/13/2022,0.403,H104 Outer,0.57159562
6/9/2022,Cade,Inner,TSCA,HX2,No,,,,5,5.4945,6.2507,0.7562,6/10/2022,6/13/2022,0.319,HX2 Outer,0.578153928
6/9/2022,Qespi,Inner,TSCA,H5,No,,,,5,5.361,6.1129,0.7519,6/10/2022,6/13/2022,0.435,H5 Outer,0.42146562
6/9/2022,Qespi,Inner,TSCA,H101,Yes,,,,5,5.514,6.3698,0.8558,6/10/2022,6/13/2022,0.348,H101 Outer,0.593362935
6/9/2022,Qespi,Inner,TSCA,H4,Yes,,,,4.712,5.3177,6.1575,0.8398,6/10/2022,6/13/2022,0.429,H4 Outer,0.489164087
6/9/2022,Qespi,Inner,TSCA,H8,Yes,,,,5,5.3828,6.4242,1.0414,6/10/2022,6/13/2022,0.335,H8 Outer,0.678317649
6/9/2022,Qespi,Inner,TSCA,HZ1,Yes,,,,5,5.341,6.1406,0.7996,6/10/2022,6/13/2022,0.327,HZ1 Outer,0.591045523
6/9/2022,Qespi,Inner,TSCA,H3,Yes,,,Middle section dropped on floor ,5,5.3598,6.1939,0.8341,6/10/2022,6/13/2022,0.473,H3 Outer,0.432921712
6/9/2022,Qespi,Inner,TSCA,HX5,Yes,,,,5,5.3634,6.1601,0.7967,6/10/2022,6/13/2022,0.364,HX5 Outer,0.543115351
6/10/2022,Qespi,Inner,ACRU,RM303,Yes,,,,5,5.3242,6.1913,0.8671,6/10/2022,6/13/2022,0.58,RM303 Outer,0.331103679
6/10/2022,Qespi,Inner,ACRU,RM2,Yes,,,,5,5.3653,6.2711,0.9058,6/10/2022,6/13/2022,0.585,RM2 Outer,0.354162067
6/10/2022,Qespi,Inner,ACRU,RM304,Yes,,,,5,5.5303,6.3965,0.8662,6/10/2022,6/13/2022,0.55,RM304 Outer,0.365042715
6/10/2022,Qespi,Inner,ACRU,RM3,Yes,,,,5,5.5267,6.3541,0.8274,6/10/2022,6/13/2022,0.517,RM3 Outer,0.375151076
6/10/2022,Qespi,Inner,ACRU,RM10,No,,,Very broken sample. Spongy fractured pieces for the inner piece,5,5.5084,6.36,0.8516,6/10/2022,6/13/2022,0.5,RM10 Outer,0.412869892
6/10/2022,Jon,Inner,ACRU,RM301a,Yes,,,  Sample contains the whole trunk.Sectioning: a and b ,5,5.5413,6.2779,0.7366,6/10/2022,6/13/2022,0.474,RM301a Outer,0.356502851
6/10/2022,Jon,Inner,ACRU,RM301b,Yes,,,,5,5.3899,6.2028,0.8129,6/10/2022,6/13/2022,0.485,RM301b Outer,0.403370648
6/10/2022,Jon,Inner,ACRU,RM502,Yes,,,Inner section (eating away) ,5,5.3641,6.0951,0.731,6/10/2022,6/13/2022,0.482,RM502 Outer,0.340629275
6/10/2022,Jon,Inner,ACRU,RM5,No,,,,5,5.5166,6.4019,0.8853,6/10/2022,6/13/2022,0.588,RM5 Outer,0.335818367
6/10/2022,Jon,Inner,ACRU,RM1,Yes,,,,5,5.3654,6.3053,0.9399,6/10/2022,6/13/2022,0.602,RM1 Outer,0.35950633
6/10/2022,Jon,Inner,ACRU,RM501,No,,,Sample not long enough for sectioning,5.28,5.5095,6.486,0.9765,6/10/2022,6/13/2022,0.539,RM501 Outer,0.448028674
6/10/2022,Jon,Inner,ACRU,RM4,Yes,,,,5,5.3498,6.2891,0.9393,6/10/2022,6/13/2022,0.613,RM4 Outer,0.347386352
6/10/2022,Jon,Inner,ACRU,RM14,No,,,Sample rotten(inner secction),5,5.3489,6.2594,0.9105,6/10/2022,6/13/2022,0.608,RM14 Outer,0.332235036
6/10/2022,Jon,Inner,ACRU,RM302,Yes,,,,5,5.5168,6.3568,0.84,6/10/2022,6/13/2022,0.532,RM302 Outer,0.366666667
6/15/2022,Jon,Inner,PIST,WPX7,Yes,,,,5,,,0.8847,6/17/2022,6/21/2022,0.3616,WPX7 Outer,0.591273878
6/15/2022,Jon,Inner,PIST,WPX22,YES,,,,5,,,0.9206,6/17/2022,6/21/2022,0.2889,WPX22 Outer,0.686182924
6/15/2022,Jon,Inner,PIST,wp7,yes,,,,5,,,0.9185,6/17/2022,6/21/2022,0.3561,wp7 Outer,0.612302667
6/15/2022,Jon,Inner,PIST,wp403,?,,,,5,,,0.89895,6/17/2022,6/21/2022,0.4142,wp403 Outer,0.539240225
6/15/2022,Jon,Inner,PIST,wp401,No,,,chewed up/fragmented,5,,,0.7484,6/17/2022,6/21/2022,0.3665,wp401 Outer,0.510288616
6/15/2022,Jon,Inner,PIST,WPBerenice,yes,,,,5,,,0.7928,6/17/2022,6/21/2022,0.3897,WPBerenice Outer,0.50845106
6/15/2022,Jon,Inner,PIST,wpx5,yes,,,,5,,,1.0327,6/17/2022,6/21/2022,,wpx5 Outer,1
6/15/2022,Jon,Inner,PIST,wp103,yes,,,,5,,,0.852,6/17/2022,6/21/2022,0.4055,wp103 Outer,0.524061033
6/15/2022,Jon,Inner,PIST,wp102,yes,,,,5,,,0.9055,6/17/2022,6/21/2022,0.4074,wp102 Outer,0.550082827
6/15/2022,Jon,Inner,PIST,  wp4,?,,,,5,,,0.9009,6/17/2022,6/21/2022,0.3891,  wp4 Outer,0.568098568
6/15/2022,Jon,Inner,PIST,wp8,yes,,,,5,,,0.8333,6/17/2022,6/21/2022,0.3986,wp8 Outer,0.521660866
6/15/2022,Jon,Inner,PIST,WPX2,yes,,,,5,,,0.7459,6/17/2022,6/21/2022,,WPX2 Outer,1
6/15/2022,Jon,Inner,PIST,wp6,yes,,,,5,,,0.8507,6/17/2022,6/21/2022,0.3561,wp6 Outer,0.58140355
6/15/2022,Jon,Inner,PIST,wp5,?,,,One pice of the core ist lost in the hud ,5,,,0.8466,6/17/2022,6/23/2022,0.3761,wp5 Outer,0.555752421
6/15/2022,Jon,Inner,PIST,wp9,?,,,chewed up,5,,,0.8323,6/17/2022,6/21/2022,0.3847,wp9 Outer,0.537786856
6/15/2022,Jon,Inner,PIST,wp101,yes,,,,5,,,1.0138,6/17/2022,6/21/2022,0.4285,wp101 Outer,0.577332807
6/15/2022,Jon,Inner,PIST,wp2,no,,,black rot near center,5,,,0.8897,6/17/2022,6/21/2022,0.4496,wp2 Outer,0.494661122
6/15/2022,Jon,Inner,PIST,wp402,yes,,,,5,,,0.9099,6/17/2022,6/21/2022,0.3792,wp402 Outer,0.583250907
6/15/2022,Jon,Inner,PIST,wp3,yes,,,,5,,,1.1564,6/17/2022,6/23/2022,0.4392,wp3 Outer,0.620200623
6/17/2022,Jon,Inner,QURU,ro9,?,,,,5,,,1.1384,6/17/2022,6/21/2022,0.5647,ro9 Outer,0.503952916
6/17/2022,Jon,Inner,QURU,ro3,no,,,chewed up rotted interior,5,,,1.1679,6/17/2022,6/23/2022,0.5907,ro3 Outer,0.494220396
6/17/2022,Jon,Inner,QURU,ro11,?,,,,5,,,1.1909,6/17/2022,6/23/2022,0.5829,ro11 Outer,0.510538248
6/17/2022,Jon,Inner,QURU,ro105,yes,,,,5,,,1.093,6/17/2022,6/23/2022,0.5808,ro105 Outer,0.468618481
6/17/2022,Jon,Inner,QURU,ro101,yes,,,,5,,,1.1036,6/17/2022,6/21/2022,0.6085,ro101 Outer,0.448622689
6/17/2022,Jon,Inner,QURU,ro102,yes,,,,5,,,1.0783,6/17/2022,6/23/2022,0.5323,ro102 Outer,0.506352592
6/17/2022,Jon,Inner,QURU,ro13,yes,,,,5,,,1.0567,6/17/2022,6/21/2022,0.526,ro13 Outer,0.502223905
6/17/2022,Jon,Inner,QURU,ro7,yes,,,,5,,,1.0711,6/17/2022,6/21/2022,0.5474,ro7 Outer,0.488936607
6/17/2022,Jon,Inner,QURU,ro2,?,,,,5,,,1.0335,6/17/2022,6/21/2022,0.5043,ro2 Outer,0.512046444
6/17/2022,Jon,Inner,QURU,ro8,yes,,,,5,,,1.0118,6/17/2022,6/23/2022,0.5065,ro8 Outer,0.499406997
6/17/2022,Jon,Inner,QURU,ro104,yes,,,,5,,,0.9623,6/17/2022,6/21/2022,0.4482,ro104 Outer,0.534240881
6/22/2022,Jon,Inner,QURU,ro1,yes,,,,5,,,1.0227,6/27/2022,7/1/2022,0.4772,ro1 Outer,0.533392002
6/22/2022,Jon,Inner,QURU,ro10,Yes,,,,5,,,1.1231,6/27/2022,7/1/2022,0.5515,ro10 Outer,0.508948446
6/22/2022,Jon,Inner,QURU,ro103,Yes,,,,5,,,1.1001,6/17/2022,6/21/2022,0.5944,ro103 Outer,0.459685483
6/22/2022,Jon,Inner,ACRU,rms1,Yes,,,,5,,,0.8542,6/23/2022,6/27/2022,0.5763,rms1 Outer,0.325333646
6/22/2022,Jon,Inner,ACRU,RM503,No,,,Inside  rothen ,5,,,0.9251,6/23/2022,6/27/2022,0.5884,RM503 Outer,0.363960653
6/22/2022,Jon,Inner,FRAM,WA14,Yes,,,,5,,,0.8234,6/23/2022,6/27/2022,0.5345,WA14 Outer,0.350862278
6/22/2022,Jon,Inner,FRAM,WAX1,Yes,,,,5,,,0.3349,6/27/2022,7/1/2022,0.5649,WAX1 Outer,-0.686772171
6/22/2022,Qespi,Inner,FRAM,WA5,Yes,,,,5,,,1.0797,6/23/2022,6/27/2022,0.6796,WA5 Outer,0.370565898
6/22/2022,Qespi,Inner,FRAM,WA12,Yes,,,,5,,,0.913,6/23/2022,6/27/2022,0.6229,WA12 Outer,0.317743702
6/22/2022,Jon,Inner,FRAM,WA1,Yes,,,,5,,,0.8352,6/23/2022,6/27/2022,0.5582,WA1 Outer,0.331657088
6/22/2022,Jon,Inner,FRAM,WA10,Yes,,,,5,,,0.8027,6/23/2022,6/27/2022,0.5546,WA10 Outer,0.309081849
6/22/2022,Jon,Inner,FRAM,WA101,Yes,,,,5,,,0.9016,6/23/2022,6/27/2022,0.6242,WA101 Outer,0.307675244
6/22/2022,Jon,Inner,FRAM,WA103*,No,,,Hard to read label. Heartwood and sapwood ends were difficult to determine.,5,,,0.846,6/23/2022,6/27/2022,0.5679,WA103* Outer,0.328723404
6/22/2022,Jon,Inner,FRAM,WA14,No,,,,5,,,0.8346,6/27/2022,7/1/2022,0.5751,WA14 Outer,0.31092739
6/22/2022,Jon,Inner,FRAM,WA103,Yes,,,,5,,,0.8148,6/27/2022,7/1/2022,0.5679,WA103 Outer,0.303019146
6/23/2022,Qespi,Inner,FRAM,WA102,Yes,,,,5,,,0.8526,6/27/2022,7/1/2022,0.5448,WA102 Outer,0.361013371
6/23/2022,Qespi,Inner,FRAM,WA15,Yes,,,,5,,,0.8149,6/23/2022,6/27/2022,0.555,WA15 Outer,0.318934839
6/23/2022,Qespi,Inner,FRAM,WA104,No,,,Too small to section,3.288,,,0.5231,6/23/2022,6/27/2022,0.3287,WA104 Outer,0.371630663
6/23/2022,Qespi,Inner,BEAL,YB4,Yes,,,,5,,,1.014,6/23/2022,6/27/2022,0.5955,YB4 Outer,0.412721893
6/23/2022,Qespi,Inner,BEAL,YB12,Yes,,,,5,,,0.8688,6/23/2022,6/27/2022,0.5651,YB12 Outer,0.349562615
6/23/2022,Qespi,Inner,BEAL,YB13,Yes,,,,5,,,0.8549,6/23/2022,6/27/2022,0.555,YB13 Outer,0.350801263
6/23/2022,Qespi,Inner,BEAL,YB3,Yes,,,,5,,,0.9066,6/23/2022,6/27/2022,0.5467,YB3 Outer,0.396977719
6/23/2022,Qespi,Inner,BEAL,YB15,Yes,,,,5,,,1.0912,6/23/2022,6/27/2022,0.5977,YB15 Outer,0.452254399
6/23/2022,Qespi,Inner,BEAL,YB11,Yes,,,,5,,,0.8948,6/27/2022,7/1/2022,0.5788,YB11 Outer,0.353151542
6/23/2022,Qespi,Inner,BEAL,YB5,Yes,,,,5,,,0.864,6/27/2022,7/1/2022,0.5361,YB5 Outer,0.379513889
6/23/2022,Qespi,Inner,BEAL,YB10,Yes,,,,5,,,1.0135,6/23/2022,6/27/2022,0.6048,YB10 Outer,0.403256043
6/23/2022,Qespi,Inner,BEAL,YB9,No,,,"sample rotten in center, pith not quite visible but likely within rotted heartwood section",,,,,6/23/2022,6/27/2022,0.5537,YB9 Outer,#DIV/0!
6/23/2022,Cade,Inner,BEAL,YB11',Yes,,,pith not quite visible but fractured at the approximate expected depth of the pith,5,,,0.9349,6/23/2022,6/27/2022,0.5701,YB11' Outer,0.390202161
6/23/2022,Qespi,Inner,BEAL,YBYB,Yes,,,"No identifying number on this sample, only 'YBYB'",5,,,0.9458,6/23/2022,6/27/2022,0.6368,YBYB Outer,0.326707549
6/23/2022,Qespi,Inner,BEAL,YB2,No,,,Not long enough for sectioning,5,,,0.956,6/27/2022,7/1/2022,0.5258,YB2 Outer,0.45
6/23/2022,Qespi,Inner,BEAL,YB14,No,,,Core is too small for sectioning,5,,,0.96,6/27/2022,7/1/2022,0.5271,YB14 Outer,0.4509375
6/23/2022,Cade,Inner,BEAL,YB9,No,,,  ,5,,,0.9849,6/23/2022,6/27/2022,,YB9 Outer,1
6/23/2022,Cade,Inner,BEAL,CUL8R,Yes,,,,5,,,0.8355,6/27/2022,7/1/2022,0.5383,CUL8R Outer,0.355715141
6/24/2022,Jon,Inner,FAGR,AB4/6,Yes,,,,5,,,1.0455,6/23/2022,6/27/2022,0.6397,AB4/6 Outer,0.388139646
6/24/2022,Jon,Inner,FAGR,AB4,yes,,,,5,,,1.0015,6/23/2022,6/27/2022,0.5722,AB4 Outer,0.428657014
6/24/2022,Jon,Inner,FAGR,AB5,No,,,,5,,,1.381,6/23/2022,6/27/2022,0.6952,AB5 Outer,0.496596669
6/24/2022,Qespi,Inner,FAGR,AB6',No,,,,5,,,6.3458,6/23/2022,6/27/2022,0.6838,AB6' Outer,0.892243689
6/24/2022,Qespi,Inner,FAGR,AB1,Yes,,,,5,,,0.9089,6/27/2022,7/1/2022,0.5579,AB1 Outer,0.386181098
6/24/2022,Qespi,Inner,FAGR,AB3/5,Yes,,,,5,,,1.0025,6/23/2022,6/27/2022,0.6286,AB3/5 Outer,0.372967581
6/24/2022,Qespi,Inner,FAGR,AB10,Yes,,,,5,,,1.0618,6/23/2022,6/27/2022,0.6524,AB10 Outer,0.385571671
6/24/2022,Qespi,Inner,FAGR,AB11,Yes,,,,5,,,0.8945,6/23/2022,6/27/2022,0.5295,AB11 Outer,0.408049189
6/24/2022,Qespi,Inner,FAGR,AB2,Yes,,,,5,,,0.948,6/23/2022,6/27/2022,0.5784,AB2 Outer,0.389873418
6/24/2022,Qespi,Inner,FAGR,AB501,Yes,,,,5,,,1.0213,6/27/2022,7/1/2022,0.5751,AB501 Outer,0.436894155
6/24/2022,Qespi,Inner,FAGR,AB6,Yes,,,,5,,,0.9558,6/23/2022,6/27/2022,0.6042,AB6 Outer,0.367859385
6/24/2022,Qespi,Inner,FAGR,AB3,Yes,,,,5,,,0.9198,6/23/2022,6/27/2022,0.5708,AB3 Outer,0.379430311
6/24/2022,Qespi,Inner,FAGR,AB9,Yes,,,,5,,,0.9825,6/23/2022,6/27/2022,0.589,AB9 Outer,0.400508906
6/24/2022,Qespi,Inner,FAGR,ABT14P,Yes,,,,5,,,0.9603,6/23/2022,6/27/2022,0.6032,ABT14P Outer,0.371862959
6/28/2022,Cade,Inner,BELE,BB16,Yes,,,,5,,,0.9446,7/5/2022,7/8/2022,0.63,BB16 Outer,0.333051027
6/28/2022,Cade,Inner,BELE,BB11,Yes,,,,5,,,0.9348,7/1/2022,7/5/2022,0.5853,BB11 Outer,0.373876765
6/28/2022,Cade,Inner,BELE,BBX7,Yes,,,,5,,,0.7842,7/5/2022,7/8/2022,0.5612,BBX7 Outer,0.284366233
6/28/2022,Cade,Inner,BELE,BB14,Yes,,,,5,,,0.9896,7/1/2022,7/5/2022,0.6368,BB14 Outer,0.35650768
6/28/2022,Cade,Inner,BELE,BB3,Yes,,,,5,,,0.9493,7/1/2022,7/5/2022,0.583,BB3 Outer,0.385863268
6/28/2022,Cade,Inner,BELE,BB7,Yes,,,,5,,,0.9683,7/1/2022,7/5/2022,0.6138,BB7 Outer,0.366105546
6/28/2022,Cade,Inner,BELE,BB10',Yes,,,,5,,,0.9762,7/5/2022,7/8/2022,0.602,BB10' Outer,0.38332309
6/28/2022,Cade,Inner,BELE,BB1,Yes,,,,5,,,0.9009,7/1/2022,7/5/2022,0.593,BB1 Outer,0.341769342
6/28/2022,Cade,Inner,BELE,BB12,Yes ,,,,5,,,0.9596,7/1/2022,7/5/2022,0.6054,BB12 Outer,0.36911213
6/28/2022,Cade,Inner,BELE,BB16',Yes,,,,5,,,0.922,7/1/2022,7/5/2022,,BB16' Outer,1
6/28/2022,Cade,Inner,BELE,BB10,Yes,,,,5,,,0.8441,7/1/2022,7/5/2022,0.5656,BB10 Outer,0.329937211
6/28/2022,Mike,Inner,BELE,BBX1,Yes,,,,5,,,0.8321,7/1/2022,7/5/2022,0.5579,BBX1 Outer,0.329527701
6/28/2022,Mike,Inner,BELE,BBGT1,Yes,,,,5,,,0.914,7/1/2022,7/5/2022,0.5571,BBGT1 Outer,0.3904814
6/28/2022,Mike,Inner,BELE,BB6,Yes,,,,5,,,0.9065,7/5/2022,7/8/2022,0.6163,BB6 Outer,0.320132377
6/28/2022,Mike,Inner,BELE,BB13,Yes,,,,5,,,0.9177,7/1/2022,7/5/2022,0.5802,BB13 Outer,0.367767244
6/28/2022,Qespi,Inner,BELE,BB5,Yes,,,,5,,,0.8583,7/1/2022,7/5/2022,0.5905,BB5 Outer,0.312012117
6/28/2022,Qespi,Inner,BELE,BB8,Yes,,,,5,,,0.9979,7/1/2022,7/5/2022,0.6376,BB8 Outer,0.361058222
6/28/2022,Qespi,Inner,BELE,BBX6,Yes,,,,5,,,0.8463,7/1/2022,7/5/2022,0.5437,BBX6 Outer,0.357556422
6/28/2022,Qespi,Inner,BELE,BB9,Yes,,,,5,,,0.8555,7/5/2022,7/8/2022,0.5699,BB9 Outer,0.33383986
6/28/2022,Qespi,Inner,ACSA,SM7,Yes,,,,5,,,0.9702,7/1/2022,7/5/2022,0.6527,SM7 Outer,0.327252113
6/28/2022,Qespi,Inner,ACSA, SM5,Yes,,,,5,,,0.9324,7/5/2022,7/8/2022,0.6123, SM5 Outer,0.343307593
6/28/2022,Qespi,Inner,ACSA ,SM4,Yes,,,,5,,,0.9494,7/5/2022,7/8/2022,0.6466,SM4 Outer,0.318938277
6/28/2022,Qespi,Inner,ACSA,SM6,Yes,,,,5,,,0.8755,7/1/2022,7/5/2022,0.5923,SM6 Outer,0.323472302
6/28/2022,Qespi,Inner,ACSA,SM14,Yes,,,,5,,,0.8664,7/1/2022,7/5/2022,0.5849,SM14 Outer,0.324907664
6/28/2022,Qespi,Inner,ACSA,SM11,Yes,,,,5,,,0.9688,7/1/2022,7/5/2022,0.6723,SM11 Outer,0.30604872
6/28/2022,Qespi,Inner,ACSA,SM3,Yes,,,,5,,,0.9176,7/1/2022,7/5/2022,0.6438,SM3 Outer,0.298387097
6/28/2022,Qespi,Inner,ACSA,SM8,Yes,,,,5,,,0.9446,7/1/2022,7/5/2022,0.6348,SM8 Outer,0.327969511
6/28/2022,Qespi,Inner,ACSA,SM10,Yes,,,,5,,,0.8948,7/1/2022,7/5/2022,0.6072,SM10 Outer,0.321412606
6/28/2022,Qespi,Inner,ACSA,SM12,Yes,,,,5,,,0.9632,7/1/2022,7/5/2022,0.6463,SM12 Outer,0.329007475
6/28/2022,Qespi,Inner,ACSA,SM13,Yes,,,,5,,,0.9315,7/1/2022,7/5/2022,0.6382,SM13 Outer,0.314868492
6/29/2022,Qespi,Inner,ACSA,SM15,,,,"Core may have had orientation switched at initial storage, so pith is difficult to find","Core may have had orientation switched at initial storage, so pith is difficult to find",,,0.9478,7/1/2022,7/5/2022,0.6623,SM15 Outer,0.301223887
6/29/2022,Qespi,Inner,ACSA,SM9,Yes,,,,5,,,0.9913,7/5/2022,7/8/2022,0.674,SM9 Outer,0.320084737
6/29/2022,Qespi,Inner,ACSA,SM1,,,,"Hard to determine pith location. Possible that orientation is switched, so just making a judgement call on where we believe the sapwood/heartwood is",5,,,0.8686,7/5/2022,7/8/2022,0.6501,SM1 Outer,0.251554225
6/29/2022,Qespi,Inner,ACSA,SM2,Yes,,,,5,,,0.9124,7/1/2022,7/5/2022,0.6178,SM2 Outer,0.3228847
6/29/2022,Qespi,Inner,BEPA,PB4,Yes,,,Pith in the middle at the split point,5,,,0.8692,7/5/2022,7/8/2022,0.5761,PB4 Outer,0.337206627
6/29/2022,Qespi,Inner,BEPA,PB2,No,,,,5,,,0.8952,7/5/2022,7/8/2022,0.5638,PB2 Outer,0.370196604
6/29/2022,Qespi,Inner,BEPA,PB5,No,,,"Assuming the pith is in the broken section as there is a clear distinction between heartwood and sapwood, but it is not explicitly visible",5,,,0.8294,7/5/2022,7/8/2022,0.5104,PB5 Outer,0.384615385
