"","seq_id","plate_identifier","Inner.Core.Sample.ID","Sample.Mass.Added.to.Tube..mg.","Date.Weighed","Name.of.Weigher","Notes","Sample.Archived","Sample.Notes","Extraction.Plate.ID","Plate.Well.No.","Plate.Position","Blank.Well.","Sample.Added.to.Extraction.Plate","Name.of.Person.Adding.to.Plate","Date.Plate.Extracted","species","core_type","material","lab_id","mcra_probe_loose","mcra_probe_strict","mcra_eva_loose","mcra_eva_strict","bact_loose","bact_strict","arc_loose","arc_strict","mmox_loose","mmox_strict","pmoa_loose","pmoa_strict","Raw","mean_vwc","mean_orp","mean_st","ch4_50","co2_50","ch4_125","co2_125","ch4_200","co2_200","CH4_int","N2O_int","O2_int","CO2_int"
"1","AB1","3A10","FAGR_AB1
Wood_Outer
Lab ID: 73a",104.6,"7/20/2022","Qespi","","x","","Plate 3",73,"A10","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","73a",1.24708688259125,0,9.13282203674316,2.60901594161987,NA,NA,NA,NA,13.8042907714844,1.72509336471558,12.0109310150146,3.00215768814087,"AB1Outer",10.44166667,297.5,17.025,"0.031277299","2.665017252","0.059612435","2.725447691","0.116714278","2.079071755","32687.519","0.7301","109211.7941","38901.3282"
"2","AB1","5G5","FAGR_AB1
Wood_Inner
Lab ID: 73c",107,"7/20/2022","Qespi","","x","","Plate 5",39,"G5","","8/10/2022","Cade","8/10/2022","FAGR","Inner","Wood","73c",5829.0048828125,2205.28466796875,1903.84411621094,1746.65026855469,NA,NA,NA,NA,42.3522720336914,0,34.1232719421387,9.94750881195068,"AB1Inner",10.44166667,297.5,17.025,"0.031277299","2.665017252","0.059612435","2.725447691","0.116714278","2.079071755","32687.519","0.7301","109211.7941","38901.3282"
"3","AB1","7G5","FAGR_AB1
Soil_Organic
Lab ID: 73d",250,"8/4/2022","QW","",NA,"","Plate 7",39,"G5","","9/11/2022","Jon","","FAGR","Organic","Soil","73d",0,0,NA,NA,NA,NA,NA,NA,30.2573547363281,4.32009744644165,5408.744140625,1127.97521972656,"AB1Organic",10.44166667,297.5,17.025,"0.031277299","2.665017252","0.059612435","2.725447691","0.116714278","2.079071755","32687.519","0.7301","109211.7941","38901.3282"
"4","AB1","1A10","FAGR_AB1
Soil_Mineral
Lab ID: 73e",250.6,"7/29/2022","Qespi","",NA,NA,"Plate 1",73,"A10","","8/4/2022","Cade","8/4/2022","FAGR","Mineral","Soil","73e",3.773661852,NA,NA,NA,NA,NA,NA,NA,76.9225769042969,5.90820121765137,6608.18603515625,1149.47570800781,"AB1Mineral",10.44166667,297.5,17.025,"0.031277299","2.665017252","0.059612435","2.725447691","0.116714278","2.079071755","32687.519","0.7301","109211.7941","38901.3282"
"5","AB10","5H5","FAGR_AB10
Wood_Inner
Lab ID: 74c",105.7,"7/20/2022","Qespi","","x","","Plate 5",40,"H5","","8/10/2022","Cade","8/10/2022","FAGR","Inner","Wood","74c",11.6156387329102,0,65.3129348754883,0,NA,NA,NA,NA,19.9272327423096,0,7.74545860290527,2.58153629302979,"AB10Inner",6.022222222,62.33333333,16.7,"-0.107750284","-1.705085133","0.042822118","0.991885295","0.026349598","0.700208611","3.6016","0.6055","155570.8336","16167.7659"
"6","AB10","7H5","FAGR_AB10
Soil_Organic
Lab ID: 74d",250.6,"8/4/2022","QW","",NA,"","Plate 7",40,"H5","","9/11/2022","Jon","","FAGR","Organic","Soil","74d",0,0,NA,NA,NA,NA,NA,NA,33.3109321594238,9.51259803771973,11961.1240234375,2640.73754882813,"AB10Organic",6.022222222,62.33333333,16.7,"-0.107750284","-1.705085133","0.042822118","0.991885295","0.026349598","0.700208611","3.6016","0.6055","155570.8336","16167.7659"
"7","AB10","1B10","FAGR_AB10
Soil_Mineral
Lab ID: 74e",253.6,"7/29/2022","Qespi","",NA,NA,"Plate 1",74,"B10","","8/4/2022","Cade","8/4/2022","FAGR","Mineral","Soil","74e",0,NA,NA,NA,NA,NA,NA,NA,63.6522979736328,8.47703075408936,5360.09814453125,1385.05883789063,"AB10Mineral",6.022222222,62.33333333,16.7,"-0.107750284","-1.705085133","0.042822118","0.991885295","0.026349598","0.700208611","3.6016","0.6055","155570.8336","16167.7659"
"8","AB10","3B10","FAGR_AB10
Wood_Outer
Lab ID: 74a",108,"7/20/2022","Qespi","","x","","Plate 3",74,"B10","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","74a",0,0,14.0264749526978,2.54964637756348,NA,NA,NA,NA,53.6665382385254,0,50.3303108215332,3.35200691223145,"AB10Outer",6.022222222,62.33333333,16.7,"-0.107750284","-1.705085133","0.042822118","0.991885295","0.026349598","0.700208611","3.6016","0.6055","155570.8336","16167.7659"
"9","AB11","5A6","FAGR_AB11
Wood_Inner
Lab ID: 75c",101.1,"7/20/2022","Qespi","","x","","Plate 5",41,"A6","","8/10/2022","Cade","8/10/2022","FAGR","Inner","Wood","75c",12.1216888427734,4.8479266166687,22.2228412628174,5.22701549530029,NA,NA,NA,NA,61.9215316772461,0,7.05529594421387,3.52738356590271,"AB11Inner",11.64166667,260.25,17.075,"0.097156313","2.545564036","0.079468427","1.679095409","0.062683217","1.841567021","29.9327","0.7733","128837.1511","25439.3629"
"10","AB11","3C10","FAGR_AB11
Wood_Outer
Lab ID: 75a",102.1,"7/20/2022","Qespi","","x","","Plate 3",75,"C10","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","75a",0,0,22.0182304382324,0,NA,NA,NA,NA,11.7777462005615,0,9.97220230102539,1.66174042224884,"AB11Outer",11.64166667,260.25,17.075,"0.097156313","2.545564036","0.079468427","1.679095409","0.062683217","1.841567021","29.9327","0.7733","128837.1511","25439.3629"
"11","AB11","7A6","FAGR_AB11
Soil_Organic
Lab ID: 75d",250.4,"8/4/2022","QW","",NA,"","Plate 7",41,"A6","","9/11/2022","Jon","","FAGR","Organic","Soil","75d",1.1858686208725,0,NA,NA,NA,NA,NA,NA,29.1678333282471,1.38812494277954,4527.22705078125,1118.50793457031,"AB11Organic",11.64166667,260.25,17.075,"0.097156313","2.545564036","0.079468427","1.679095409","0.062683217","1.841567021","29.9327","0.7733","128837.1511","25439.3629"
"12","AB11","1C10","FAGR_AB11
Soil_Mineral
Lab ID: 75e",250,"7/29/2022","Qespi","",NA,NA,"Plate 1",75,"C10","","8/4/2022","Cade","8/4/2022","FAGR","Mineral","Soil","75e",1.238944292,NA,NA,NA,NA,NA,NA,NA,31.3668518066406,1.42485916614532,3735.94775390625,1059.84997558594,"AB11Mineral",11.64166667,260.25,17.075,"0.097156313","2.545564036","0.079468427","1.679095409","0.062683217","1.841567021","29.9327","0.7733","128837.1511","25439.3629"
"13","AB2","1D10","FAGR_AB2
Soil_Mineral
Lab ID: 76e",251.2,"7/29/2022","Qespi","",NA,NA,"Plate 1",76,"D10","","8/4/2022","Cade","8/4/2022","FAGR","Mineral","Soil","76e",1.296636343,NA,NA,NA,NA,NA,NA,NA,76.0611114501953,5.73189067840576,5406.896484375,1155.48461914063,"AB2Mineral",10.1,258.25,17.25,"0.077418815","1.903127724","-0.127040891","0.504236708","-0.050110827","-1.692084334","32928.9874","0.7011","150486.4544","23787.317"
"14","AB2","3D10","FAGR_AB2
Wood_Outer
Lab ID: 76a",102.3,"7/20/2022","Qespi","","x","","Plate 3",76,"D10","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","76a",0,0,10.2978992462158,0,NA,NA,NA,NA,19.229923248291,0,18.2688217163086,4.98099994659424,"AB2Outer",10.1,258.25,17.25,"0.077418815","1.903127724","-0.127040891","0.504236708","-0.050110827","-1.692084334","32928.9874","0.7011","150486.4544","23787.317"
"15","AB2","7B6","FAGR_AB2
Soil_Organic
Lab ID: 76d",255.6,"8/4/2022","QW","",NA,"","Plate 7",42,"B6","","9/11/2022","Jon","","FAGR","Organic","Soil","76d",0,0,NA,NA,NA,NA,NA,NA,27.8889656066895,3.80109524726868,4358.697265625,865.324462890625,"AB2Organic",10.1,258.25,17.25,"0.077418815","1.903127724","-0.127040891","0.504236708","-0.050110827","-1.692084334","32928.9874","0.7011","150486.4544","23787.317"
"16","AB2","5B6","FAGR_AB2
Wood_Inner
Lab ID: 76c",109.8,"7/20/2022","Qespi","","x","","Plate 5",42,"B6","","8/10/2022","Cade","8/10/2022","FAGR","Inner","Wood","76c",144567.390625,660.583984375,65976.4296875,43789.37109375,NA,NA,NA,NA,22.7641372680664,2.67699098587036,13.3230247497559,7.61223268508911,"AB2Inner",10.1,258.25,17.25,"0.077418815","1.903127724","-0.127040891","0.504236708","-0.050110827","-1.692084334","32928.9874","0.7011","150486.4544","23787.317"
"17","AB3","3E10","FAGR_AB3
Wood_Outer
Lab ID: 77a",106.8,"7/20/2022","Qespi","","x","","Plate 3",77,"E10","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","77a",0,0,6.35603666305542,0,NA,NA,NA,NA,20.3034992218018,1.5611857175827,33.9681549072266,0,"AB3Outer",11.94166667,313,17.75,"0.077418815","1.903127724","0.007601181","1.10968913","0.145387701","1.212261311","125.0019","0.4721","185035.2777","9877.9757"
"18","AB3","3E10","FAGR_AB3
Wood_Outer
Lab ID: 77a",106.8,"7/20/2022","Qespi","","x","","Plate 3",77,"E10","","8/8/2022","Cade","8/8/2022","FAGR","Outer","Wood","77a",0,0,6.35603666305542,0,NA,NA,NA,NA,20.3034992218018,1.5611857175827,33.9681549072266,0,"AB3Outer",10.1,258.25,17.25,"0.077418815","1.903127724","0.007601181","1.10968913","0.145387701","1.212261311","125.0019","0.4721","185035.2777","9877.9757"
"19","AB3","5C6","FAGR_AB3
Wood_Inner
Lab ID: 77c",104.5,"7/20/2022","Qespi","","x","","Plate 5",43,"C6","","8/10/2022","Cade","8/10/2022","FAGR","Inner","Wood","77c",17.665828704834,2.94338417053223,32.4301376342773,4.05132341384888,NA,NA,NA,NA,22.221607208252,0,81.4331130981445,5.67224407196045,"AB3Inner",11.94166667,313,17.75,"0.077418815","1.903127724","0.007601181","1.10968913","0.145387701","1.212261311","125.0019","0.4721","185035.2777","9877.9757"
"20","AB3","5C6","FAGR_AB3
Wood_Inner
Lab ID: 77c",104.5,"7/20/2022","Qespi","","x","","Plate 5",43,"C6","","8/10/2022","Cade","8/10/2022","FAGR","Inner","Wood","77c",17.665828704834,2.94338417053223,32.4301376342773,4.05132341384888,NA,NA,NA,NA,22.221607208252,0,81.4331130981445,5.67224407196045,"AB3Inner",10.1,258.25,17.25,"0.077418815","1.903127724","0.007601181","1.10968913","0.145387701","1.212261311","125.0019","0.4721","185035.2777","9877.9757"
"21","AB3/5","1F10","FAGR_AB3/5
Soil_Mineral
Lab ID: 78e",252.3,"7/29/2022","Qespi","",NA,NA,"Plate 1",78,"F10","","8/4/2022","Cade","8/4/2022","FAGR","Mineral","Soil","78e",0,NA,NA,NA,NA,NA,NA,NA,28.9575805664063,2.75633001327515,4511.77880859375,752.956848144531,"AB3/5Mineral",NA,NA,NA,"0.070663016","2.587124214","0.006834666","1.85847512","0.006805082","1.620897705","2.3767","0.1721","200839.0861","292.1651"
